pair,step,step_time_off_s,step_time_on_s,loss_off,loss_on
1,10,1.1573026180267334,1.1581683158874512,0.46001097559928894,0.46026116609573364
1,11,1.1437625885009766,1.2178354263305664,0.4623849391937256,0.4622271656990051
1,12,1.2266829013824463,1.1935975551605225,0.4557529091835022,0.4556957483291626
1,13,1.2150323390960693,1.1598329544067383,0.4775812327861786,0.4778110980987549
1,14,1.1764373779296875,1.1514246463775635,0.4802626967430115,0.48016634583473206
1,15,1.0264155864715576,1.0241107940673828,0.4494435489177704,0.44935446977615356
1,16,1.1685750484466553,1.131284475326538,0.4565470814704895,0.45639652013778687
1,17,0.9864077568054199,0.9825701713562012,0.47940880060195923,0.4792756140232086
1,18,1.1549899578094482,1.1566133499145508,0.5031111240386963,0.5033177733421326
1,19,1.1032512187957764,1.108396053314209,0.44448423385620117,0.44456082582473755
1,20,1.0853967666625977,1.079270839691162,0.44073644280433655,0.44067496061325073
1,21,1.1439335346221924,1.1544363498687744,0.4278466999530792,0.4281843304634094
1,22,1.121959924697876,1.1317925453186035,0.44126150012016296,0.44142505526542664
1,23,1.1924645900726318,1.176281213760376,0.4616865813732147,0.4617588222026825
1,24,1.1060383319854736,1.1050314903259277,0.48167601227760315,0.4815426170825958
1,25,1.1052377223968506,1.1147823333740234,0.4800325334072113,0.48020875453948975
1,26,1.1192660331726074,1.1002981662750244,0.4906265139579773,0.4907325506210327
1,27,1.006392478942871,0.9706897735595703,0.46755000948905945,0.46758317947387695
1,28,1.1025614738464355,1.0896294116973877,0.45478910207748413,0.4546659588813782
1,29,1.1678252220153809,1.1535727977752686,0.46415844559669495,0.4643014669418335
1,30,1.5741519927978516,1.5294318199157715,0.47947224974632263,0.47952309250831604
1,31,1.0542616844177246,1.0403704643249512,0.4745714068412781,0.4746060371398926
1,32,1.1279382705688477,1.0593812465667725,0.43328338861465454,0.4332066774368286
1,33,1.1208646297454834,1.1080749034881592,0.4494333267211914,0.4493144750595093
1,34,1.1777098178863525,1.1361565589904785,0.45624664425849915,0.4562791883945465
1,35,1.1657013893127441,1.1279850006103516,0.48068568110466003,0.48066645860671997
1,36,1.1613826751708984,1.1022937297821045,0.4523167908191681,0.45238301157951355
1,37,1.1221914291381836,1.1234409809112549,0.43512481451034546,0.43511608242988586
1,38,1.1855854988098145,1.181323528289795,0.42398402094841003,0.423863023519516
1,39,1.2543323040008545,1.0860588550567627,0.4632071554660797,0.46348655223846436
1,40,1.037092685699463,1.0324673652648926,0.4574328660964966,0.45748311281204224
1,41,1.0583078861236572,1.0653324127197266,0.4639204144477844,0.46402958035469055
1,42,1.3001856803894043,1.00386381149292,0.44436535239219666,0.44445258378982544
1,43,1.1917192935943604,1.1899118423461914,0.4546385407447815,0.45446908473968506
1,44,1.1671171188354492,1.1519780158996582,0.4331732392311096,0.4331437051296234
1,45,1.2272109985351562,1.2005012035369873,0.4399755001068115,0.4400365948677063
1,46,1.2051002979278564,1.1612601280212402,0.43569451570510864,0.43577539920806885
1,47,1.1776833534240723,1.1648328304290771,0.4430236220359802,0.44312041997909546
1,48,1.271737813949585,1.3495979309082031,0.43879929184913635,0.43881750106811523
1,49,1.1459190845489502,1.18509840965271,0.4461333155632019,0.4459229111671448
1,50,1.2075681686401367,1.1724529266357422,0.45272690057754517,0.45248422026634216
1,51,1.153198480606079,1.119776964187622,0.45648327469825745,0.4565877318382263
1,52,1.2337205410003662,1.2489817142486572,0.43649640679359436,0.43663087487220764
1,53,1.2714300155639648,1.2806966304779053,0.4933827817440033,0.4931829273700714
1,54,1.0281765460968018,1.006366491317749,0.48462578654289246,0.48445823788642883
1,55,1.0793132781982422,1.1000936031341553,0.4499233365058899,0.4498579800128937
1,56,1.1359589099884033,1.1642167568206787,0.44761744141578674,0.44781649112701416
1,57,1.1784698963165283,1.144486904144287,0.45918142795562744,0.45893266797065735
1,58,1.1347346305847168,1.1205565929412842,0.4615340530872345,0.4612969756126404
1,59,1.1113028526306152,1.0765039920806885,0.43872860074043274,0.4388614892959595
2,10,1.176821231842041,1.1671867370605469,0.4601362347602844,0.4599913954734802
2,11,1.1531109809875488,1.1800172328948975,0.46222299337387085,0.46237853169441223
2,12,1.163835048675537,1.1783151626586914,0.45593133568763733,0.4557563364505768
2,13,1.1923446655273438,1.1689236164093018,0.47755616903305054,0.4777284860610962
2,14,1.1842141151428223,1.2010319232940674,0.4801809787750244,0.48032885789871216
2,15,1.028367280960083,1.0602631568908691,0.4491572976112366,0.44927066564559937
2,16,1.1763932704925537,1.1640522480010986,0.45651552081108093,0.4566657245159149
2,17,1.0075371265411377,1.022719144821167,0.4792298674583435,0.47966352105140686
2,18,1.1708498001098633,1.1319212913513184,0.5031232237815857,0.5032673478126526
2,19,1.203632116317749,1.139845848083496,0.4444838762283325,0.4443678855895996
2,20,1.0699207782745361,1.1763520240783691,0.44070160388946533,0.4408160448074341
2,21,1.1925859451293945,1.1727371215820312,0.4278141260147095,0.4279026985168457
2,22,1.1284284591674805,1.1480567455291748,0.44126757979393005,0.44145119190216064
2,23,1.1881155967712402,1.270566463470459,0.4616660475730896,0.4618523120880127
2,24,1.1101396083831787,1.1210839748382568,0.48175856471061707,0.4816083312034607
2,25,1.100848913192749,1.1061663627624512,0.4802260398864746,0.4802743196487427
2,26,1.0954580307006836,1.0990407466888428,0.4907984137535095,0.49071455001831055
2,27,0.9980177879333496,0.9929506778717041,0.46759194135665894,0.46762385964393616
2,28,1.2247402667999268,1.1216983795166016,0.4546337127685547,0.45461511611938477
2,29,1.1770713329315186,1.1786777973175049,0.46428483724594116,0.4643213152885437
2,30,1.5403273105621338,1.505319595336914,0.47936171293258667,0.47951534390449524
2,31,1.0367085933685303,1.0467860698699951,0.4744531512260437,0.47463366389274597
2,32,1.025254249572754,1.0572285652160645,0.4333471953868866,0.43330878019332886
2,33,1.2135083675384521,1.1181888580322266,0.44934144616127014,0.44946083426475525
2,34,1.158172607421875,1.1293048858642578,0.45612961053848267,0.4563945233821869
2,35,1.146841049194336,1.1401112079620361,0.480499804019928,0.480574369430542
2,36,1.1354517936706543,1.0990054607391357,0.4524705410003662,0.4524379372596741
2,37,1.126655101776123,1.1307380199432373,0.4353199899196625,0.4350864589214325
2,38,1.1816623210906982,1.152111530303955,0.4239521622657776,0.423656702041626
2,39,1.1216626167297363,1.095885992050171,0.4632360339164734,0.4636196494102478
2,40,1.0186405181884766,1.0524370670318604,0.4572395086288452,0.4574984908103943
2,41,1.058586597442627,1.0558931827545166,0.46391022205352783,0.4637729525566101
2,42,0.9995484352111816,1.0094208717346191,0.4445076286792755,0.44484975934028625
2,43,1.188723087310791,1.1689648628234863,0.4544222354888916,0.454822301864624
2,44,1.1580796241760254,1.1398229598999023,0.4330770969390869,0.43307405710220337
2,45,1.2105188369750977,1.2383015155792236,0.4399837553501129,0.43981030583381653
2,46,1.145235538482666,1.1750233173370361,0.43588390946388245,0.4357593059539795
2,47,1.1888306140899658,1.2174608707427979,0.4430125057697296,0.44290900230407715
2,48,1.2811460494995117,1.2667937278747559,0.43883299827575684,0.4386700987815857
2,49,1.1903927326202393,1.123260736465454,0.4460199177265167,0.4460737407207489
2,50,1.1505792140960693,1.15281343460083,0.45249494910240173,0.4525580406188965
2,51,1.1354310512542725,1.1365137100219727,0.456438809633255,0.45649102330207825
2,52,1.226949691772461,1.2162306308746338,0.4367278218269348,0.4366825222969055
2,53,1.3237082958221436,1.276414394378662,0.49319717288017273,0.49324342608451843
2,54,1.0756840705871582,1.019052505493164,0.4844951927661896,0.48477375507354736
2,55,1.0768649578094482,1.0628814697265625,0.44992929697036743,0.44980600476264954
2,56,1.132859230041504,1.1477851867675781,0.44751107692718506,0.4477109909057617
2,57,1.2866942882537842,1.2222495079040527,0.4592956602573395,0.4593113660812378
2,58,1.1494133472442627,1.1521415710449219,0.4613783359527588,0.46145379543304443
2,59,1.111764907836914,1.1183414459228516,0.43893831968307495,0.43885210156440735
3,10,1.1894242763519287,1.1942567825317383,0.46014004945755005,0.46012628078460693
3,11,1.1428625583648682,1.148486852645874,0.46227723360061646,0.46210604906082153
3,12,1.1703464984893799,1.1918065547943115,0.45618313550949097,0.4559866487979889
3,13,1.1938481330871582,1.1927881240844727,0.47750627994537354,0.47744354605674744
3,14,1.1804461479187012,1.1761057376861572,0.4804233908653259,0.4801639914512634
3,15,1.0426228046417236,1.0106122493743896,0.44921422004699707,0.4491855502128601
3,16,1.1810410022735596,1.149268388748169,0.4565037786960602,0.45628640055656433
3,17,1.0117995738983154,0.9891047477722168,0.4795021712779999,0.4794597029685974
3,18,1.1568560600280762,1.1210761070251465,0.5031286478042603,0.5031301379203796
3,19,1.1441848278045654,1.127821683883667,0.44438251852989197,0.4444652497768402
3,20,1.0792503356933594,1.1064655780792236,0.44063666462898254,0.4405584931373596
