pair,block,on_over_off_minus_1,mean_ph0,mean_ph1
v2m-p1,16,-0.02486746,0.977344,1.002267
v2m-p1,17,0.00313446,0.970708,0.973751
v2m-p1,18,-0.00272325,0.933380,0.935928
v2m-p1,19,-0.00329074,0.926739,0.923689
v2m-p1,20,0.00712023,0.922805,0.916281
v2m-p1,21,0.00096616,0.957141,0.958066
v2m-p1,22,0.00520838,0.975100,0.970048
v2m-p1,23,-0.00800622,0.946408,0.938831
v2m-p1,24,0.11188449,1.086191,0.976892
v2m-p1,25,0.05704468,0.932968,0.986189
v2m-p1,26,-0.10591839,0.905358,1.012613
v2m-p1,27,0.00758619,0.961419,0.968712
v2m-p1,28,0.06160709,0.968452,0.912251
v2m-p1,29,-0.00623046,1.018841,1.012493
v2a-c1,2,-0.00447082,1.121951,1.126990
v2a-c1,3,-0.01152068,1.153484,1.140195
v2a-c1,4,-0.00016054,1.163393,1.163579
v2a-c1,5,0.00418918,1.140050,1.144826
v2a-c1,6,0.00764158,1.178708,1.169769
v2a-c1,7,0.01378558,1.080263,1.095155
v2a-c1,8,0.01903091,1.163746,1.142013
v2a-c1,9,-0.00126953,1.157454,1.155985
v2a-c1,10,-0.02604275,1.104309,1.133837
v2a-c1,11,0.00657670,1.103416,1.110673
v2a-c1,12,-0.00130246,1.093978,1.095404
v2a-c1,13,0.00276134,1.092229,1.095245
v2a-c1,14,0.00584150,1.131836,1.125262
v2a-c1,15,0.02326203,1.375916,1.407922
v2a-c1,16,-0.01380436,1.116822,1.132455
v2a-c1,17,0.00142344,1.136299,1.137917
v2a-c1,18,-0.02103686,1.103995,1.127718
v2a-c1,19,0.01047415,1.098395,1.109899
v2a-c1,20,0.00974882,1.097105,1.086513
v2a-c1,21,-0.00680668,1.136353,1.128619
v2a-c1,22,-0.00214456,1.134422,1.136860
v2a-c1,23,0.01164811,1.111606,1.124554
v2a-c1,24,0.00961413,1.161736,1.150673
v2a-c1,25,0.00174814,1.121201,1.123161
v2a-c1,26,0.00279479,1.095296,1.092244
v2a-c1,27,0.01737368,1.144187,1.164066
v2a-c1,28,-0.00058059,1.094474,1.095109
v2a-c1,29,0.05560794,1.207659,1.274814
v2b-c1,2,0.01059396,0.902160,0.892702
v2b-c1,3,-0.00495239,0.928740,0.924140
v2b-c1,4,-0.00148798,0.934187,0.935579
v2b-c1,5,0.01023122,0.930541,0.940062
v2b-c1,6,-0.00782376,0.970548,0.978201
v2b-c1,7,-0.00310223,0.872845,0.870137
v2b-c1,8,0.00763609,0.922717,0.915724
v2b-c1,9,0.11743659,0.942486,1.053168
v2b-c1,10,0.00686338,0.893782,0.887690
v2b-c1,11,-0.04859746,0.939641,0.893977
v2b-c1,12,-0.00511303,0.870860,0.875336
v2b-c1,13,0.00605450,0.873503,0.878792
v2b-c1,14,0.00160277,0.924570,0.923091
v2b-c1,15,0.01163918,0.924916,0.935682
v2b-c1,16,-0.05335703,1.028349,1.086311
v2b-c1,17,-0.00201387,0.936938,0.935051
v2b-c1,18,0.01305078,0.902753,0.891123
v2b-c1,19,0.00102795,0.885320,0.886230
v2b-c1,20,-0.00222767,0.878188,0.880148
v2b-c1,21,0.00503565,0.913804,0.918405
v2b-c1,22,-0.04532728,0.929054,0.973165
v2b-c1,23,0.00157190,0.896465,0.897874
v2b-c1,24,-0.00046247,0.934592,0.935025
v2b-c1,25,-0.16858708,1.077176,0.895578
v2b-c1,26,-0.03353574,0.931925,0.964262
v2b-c1,27,-0.00278843,0.923618,0.921043
v2b-c1,28,-0.00326653,0.874861,0.877728
v2b-c1,29,-0.00559451,0.983245,0.977744
v2c-c1,2,0.01786724,0.959637,0.942792
v2c-c1,3,0.00644501,0.972302,0.978568
v2c-c1,4,-0.00392577,0.968050,0.971865
v2c-c1,5,0.00326892,0.968736,0.971903
v2c-c1,6,-0.01071702,1.007320,1.018233
v2c-c1,7,0.00147175,0.908575,0.909912
v2c-c1,8,0.00415162,0.963771,0.959786
v2c-c1,9,-0.00963622,1.055483,1.045312
v2c-c1,10,-0.00419471,0.936421,0.940366
v2c-c1,11,0.00107001,1.008635,1.009714
v2c-c1,12,-0.00807434,0.911692,0.919113
v2c-c1,13,-0.00115426,0.911160,0.910108
v2c-c1,14,-0.00152066,0.956271,0.957728
v2c-c1,15,-0.00196440,0.971796,0.969887
v2c-c1,16,-0.06953896,1.004380,1.079443
v2c-c1,17,-0.00001079,0.961295,0.961285
v2c-c1,18,-0.00375032,0.930750,0.934254
v2c-c1,19,0.00305588,0.921754,0.924570
v2c-c1,20,-0.00759938,0.908367,0.915323
v2c-c1,21,-0.00633011,0.959199,0.953127
v2c-c1,22,-0.00006938,0.967914,0.967982
v2c-c1,23,-0.07434675,1.006994,0.932127
v2c-c1,24,0.00351278,0.971817,0.968415
v2c-c1,25,0.01715901,1.016618,1.034062
v2c-c1,26,-0.13110331,0.911952,1.049552
v2c-c1,27,-0.01211026,0.970688,0.958932
v2c-c1,28,0.01521971,0.925535,0.911660
v2c-c1,29,-0.12104608,1.091326,0.959226
