pair,pair_name,block,on_run,mean_step_time_ph0_s,mean_step_time_ph1_s,on_over_off_minus_1
4,v2c-p1,7,ph1,0.910866,0.912902,0.00223466
4,v2c-p1,8,ph0,0.968535,0.980473,-0.01217559
4,v2c-p1,9,ph1,1.065257,1.095991,0.02885095
4,v2c-p1,10,ph0,0.933574,0.936318,-0.00293000
4,v2c-p1,11,ph1,0.989042,0.934773,-0.05486984
4,v2c-p1,12,ph0,0.918419,0.912022,0.00701401
4,v2c-p1,13,ph1,0.914025,0.912440,-0.00173386
4,v2c-p1,14,ph0,0.958457,0.960386,-0.00200879
4,v2c-p1,15,ph1,1.089581,0.960733,-0.11825538
4,v2c-p1,16,ph0,0.954565,1.071560,-0.10918261
4,v2c-p1,17,ph1,0.967815,0.961686,-0.00633189
4,v2c-p1,18,ph0,0.938917,0.937133,0.00190453
4,v2c-p1,19,ph1,0.930202,0.923624,-0.00707178
4,v2c-p1,20,ph0,0.921135,0.919212,0.00209244
4,v2c-p1,21,ph1,0.964338,0.961299,-0.00315218
4,v2c-p1,22,ph0,0.972173,0.972634,-0.00047476
4,v2c-p1,23,ph1,0.939410,0.944672,0.00560041
4,v2c-p1,24,ph0,1.130219,0.969709,0.16552310
4,v2c-p1,25,ph1,0.984584,0.985613,0.00104467
4,v2c-p1,26,ph0,1.028420,1.025588,0.00276186
4,v2c-p1,27,ph1,0.973517,0.972726,-0.00081247
4,v2c-p1,28,ph0,0.987727,0.915201,0.07924585
4,v2c-p1,29,ph1,0.965420,0.962879,-0.00263216
